09/22/2025-18:30:42.636761  [**] [1:2049400:1] ET WEB_SERVER /etc/passwd Detected in URI [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.42.1.174:33224 -> 172.17.100.121:80
09/22/2025-18:30:42.637788  [**] [1:2049400:1] ET WEB_SERVER /etc/passwd Detected in URI [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.42.1.174:33224 -> 172.17.100.121:80
09/22/2025-18:30:42.638764  [**] [1:2049400:1] ET WEB_SERVER /etc/passwd Detected in URI [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.42.1.174:33224 -> 172.17.100.121:80
09/22/2025-18:30:42.640967  [**] [1:2049400:1] ET WEB_SERVER /etc/passwd Detected in URI [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.42.1.174:33224 -> 172.17.100.121:80
09/22/2025-18:30:42.641984  [**] [1:2049400:1] ET WEB_SERVER /etc/passwd Detected in URI [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.42.1.174:33224 -> 172.17.100.121:80
09/22/2025-18:30:42.643882  [**] [1:2049400:1] ET WEB_SERVER /etc/passwd Detected in URI [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.42.1.174:33224 -> 172.17.100.121:80
09/22/2025-18:30:42.644887  [**] [1:2049400:1] ET WEB_SERVER /etc/passwd Detected in URI [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.42.1.174:33224 -> 172.17.100.121:80
09/22/2025-18:30:42.647749  [**] [1:2049400:1] ET WEB_SERVER /etc/passwd Detected in URI [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.42.1.174:33224 -> 172.17.100.121:80
09/22/2025-18:30:42.649770  [**] [1:2049400:1] ET WEB_SERVER /etc/passwd Detected in URI [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.42.1.174:33224 -> 172.17.100.121:80
09/22/2025-18:30:42.650778  [**] [1:2049400:1] ET WEB_SERVER /etc/passwd Detected in URI [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.42.1.174:33224 -> 172.17.100.121:80
09/22/2025-18:30:42.651812  [**] [1:2049400:1] ET WEB_SERVER /etc/passwd Detected in URI [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.42.1.174:33224 -> 172.17.100.121:80
09/22/2025-18:30:42.652771  [**] [1:2049400:1] ET WEB_SERVER /etc/passwd Detected in URI [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.42.1.174:33224 -> 172.17.100.121:80
09/22/2025-18:30:42.653880  [**] [1:2049400:1] ET WEB_SERVER /etc/passwd Detected in URI [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.42.1.174:33224 -> 172.17.100.121:80
09/22/2025-18:30:42.655286  [**] [1:2049400:1] ET WEB_SERVER /etc/passwd Detected in URI [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.42.1.174:33224 -> 172.17.100.121:80
09/22/2025-18:30:42.657393  [**] [1:2049400:1] ET WEB_SERVER /etc/passwd Detected in URI [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.42.1.174:33224 -> 172.17.100.121:80
09/22/2025-18:30:42.658448  [**] [1:2049400:1] ET WEB_SERVER /etc/passwd Detected in URI [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.42.1.174:33224 -> 172.17.100.121:80
09/22/2025-18:30:42.659512  [**] [1:2049400:1] ET WEB_SERVER /etc/passwd Detected in URI [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.42.1.174:33224 -> 172.17.100.121:80
09/22/2025-18:30:42.660552  [**] [1:2049400:1] ET WEB_SERVER /etc/passwd Detected in URI [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.42.1.174:33224 -> 172.17.100.121:80
